Epoch:01, Train loss: 1.326, Train acc: 35.58%, Val loss: 1.310, Val acc: 35.49%
Epoch:02, Train loss: 1.258, Train acc: 45.96%, Val loss: 1.242, Val acc: 47.82%
Epoch:03, Train loss: 1.213, Train acc: 51.05%, Val loss: 1.209, Val acc: 51.40%
Epoch:04, Train loss: 1.189, Train acc: 53.86%, Val loss: 1.218, Val acc: 50.73%
Epoch:05, Train loss: 1.169, Train acc: 55.75%, Val loss: 1.183, Val acc: 53.96%
Epoch:06, Train loss: 1.124, Train acc: 62.21%, Val loss: 1.121, Val acc: 61.10%
Epoch:07, Train loss: 1.087, Train acc: 65.31%, Val loss: 1.090, Val acc: 64.62%
Epoch:08, Train loss: 1.060, Train acc: 68.53%, Val loss: 1.085, Val acc: 65.01%
Epoch:09, Train loss: 1.027, Train acc: 71.88%, Val loss: 1.042, Val acc: 70.37%
Epoch:10, Train loss: 1.013, Train acc: 73.04%, Val loss: 1.065, Val acc: 66.35%
Epoch:11, Train loss: 0.991, Train acc: 75.61%, Val loss: 1.029, Val acc: 70.70%
Epoch:12, Train loss: 0.968, Train acc: 77.87%, Val loss: 1.035, Val acc: 69.75%
Epoch:13, Train loss: 0.953, Train acc: 79.42%, Val loss: 1.034, Val acc: 69.87%
Epoch:14, Train loss: 0.943, Train acc: 80.49%, Val loss: 1.027, Val acc: 71.04%
Epoch:15, Train loss: 0.927, Train acc: 82.50%, Val loss: 1.035, Val acc: 70.26%
Epoch:16, Train loss: 0.913, Train acc: 83.59%, Val loss: 1.029, Val acc: 71.09%
Epoch:17, Train loss: 0.895, Train acc: 85.56%, Val loss: 1.022, Val acc: 71.48%
Epoch:18, Train loss: 0.883, Train acc: 86.93%, Val loss: 1.022, Val acc: 70.93%
Epoch:19, Train loss: 0.868, Train acc: 88.44%, Val loss: 1.017, Val acc: 71.71%
Epoch:20, Train loss: 0.862, Train acc: 89.01%, Val loss: 1.015, Val acc: 72.15%
Epoch:21, Train loss: 0.853, Train acc: 89.80%, Val loss: 1.030, Val acc: 70.98%
Epoch:22, Train loss: 0.853, Train acc: 89.67%, Val loss: 1.031, Val acc: 70.76%
Epoch:23, Train loss: 0.843, Train acc: 90.76%, Val loss: 1.018, Val acc: 71.37%
Epoch:24, Train loss: 0.837, Train acc: 91.28%, Val loss: 1.016, Val acc: 72.10%
Epoch:25, Train loss: 0.831, Train acc: 91.70%, Val loss: 1.007, Val acc: 73.21%
Epoch:26, Train loss: 0.827, Train acc: 92.00%, Val loss: 1.013, Val acc: 72.21%
Epoch:27, Train loss: 0.825, Train acc: 92.20%, Val loss: 1.018, Val acc: 72.04%
Epoch:28, Train loss: 0.819, Train acc: 92.79%, Val loss: 1.004, Val acc: 73.49%
Epoch:29, Train loss: 0.821, Train acc: 92.65%, Val loss: 1.026, Val acc: 70.65%
Epoch:30, Train loss: 0.822, Train acc: 92.55%, Val loss: 1.022, Val acc: 71.32%
Epoch:31, Train loss: 0.816, Train acc: 93.02%, Val loss: 1.011, Val acc: 72.49%
Epoch:32, Train loss: 0.814, Train acc: 93.17%, Val loss: 1.007, Val acc: 72.94%
Epoch:33, Train loss: 0.811, Train acc: 93.41%, Val loss: 1.023, Val acc: 71.60%
Epoch:34, Train loss: 0.812, Train acc: 93.33%, Val loss: 1.015, Val acc: 71.99%
Epoch:35, Train loss: 0.809, Train acc: 93.61%, Val loss: 1.023, Val acc: 71.48%
Epoch:36, Train loss: 0.808, Train acc: 93.71%, Val loss: 1.010, Val acc: 72.99%
Epoch:37, Train loss: 0.807, Train acc: 93.80%, Val loss: 1.015, Val acc: 72.10%
Epoch:38, Train loss: 0.806, Train acc: 93.83%, Val loss: 1.018, Val acc: 71.88%
Epoch:39, Train loss: 0.809, Train acc: 93.65%, Val loss: 1.026, Val acc: 71.09%
Epoch:40, Train loss: 0.838, Train acc: 90.61%, Val loss: 1.018, Val acc: 71.65%
Epoch:41, Train loss: 0.811, Train acc: 93.55%, Val loss: 1.013, Val acc: 72.66%
Epoch:42, Train loss: 0.807, Train acc: 93.94%, Val loss: 1.025, Val acc: 71.48%
Epoch:43, Train loss: 0.806, Train acc: 93.91%, Val loss: 1.012, Val acc: 72.49%
Epoch:44, Train loss: 0.803, Train acc: 94.17%, Val loss: 1.015, Val acc: 72.32%
Epoch:45, Train loss: 0.802, Train acc: 94.24%, Val loss: 1.019, Val acc: 72.04%
Epoch:46, Train loss: 0.804, Train acc: 94.14%, Val loss: 1.009, Val acc: 72.94%
Epoch:47, Train loss: 0.801, Train acc: 94.32%, Val loss: 1.006, Val acc: 73.21%
Epoch:48, Train loss: 0.800, Train acc: 94.40%, Val loss: 1.026, Val acc: 71.09%
Epoch:49, Train loss: 0.800, Train acc: 94.40%, Val loss: 1.014, Val acc: 72.54%
Epoch:50, Train loss: 0.808, Train acc: 93.61%, Val loss: 1.023, Val acc: 71.65%
Epoch:51, Train loss: 0.812, Train acc: 93.25%, Val loss: 1.034, Val acc: 70.54%
Epoch:52, Train loss: 0.813, Train acc: 93.30%, Val loss: 1.020, Val acc: 71.71%
Epoch:53, Train loss: 0.809, Train acc: 93.53%, Val loss: 1.014, Val acc: 72.54%
Epoch:54, Train loss: 0.806, Train acc: 93.93%, Val loss: 1.024, Val acc: 71.76%
Epoch:55, Train loss: 0.801, Train acc: 94.44%, Val loss: 1.025, Val acc: 71.54%
Epoch:56, Train loss: 0.798, Train acc: 94.62%, Val loss: 1.011, Val acc: 72.94%
Epoch:57, Train loss: 0.796, Train acc: 94.77%, Val loss: 1.025, Val acc: 71.37%
Epoch:58, Train loss: 0.796, Train acc: 94.77%, Val loss: 1.029, Val acc: 70.48%
Epoch:59, Train loss: 0.795, Train acc: 94.82%, Val loss: 1.021, Val acc: 71.54%
Epoch:60, Train loss: 0.795, Train acc: 94.84%, Val loss: 1.029, Val acc: 70.81%
Epoch:61, Train loss: 0.795, Train acc: 94.84%, Val loss: 1.015, Val acc: 72.49%
Epoch:62, Train loss: 0.795, Train acc: 94.86%, Val loss: 1.034, Val acc: 70.37%
Epoch:63, Train loss: 0.797, Train acc: 94.73%, Val loss: 1.018, Val acc: 71.93%
Epoch:64, Train loss: 0.800, Train acc: 94.48%, Val loss: 1.043, Val acc: 69.42%
Epoch:65, Train loss: 0.807, Train acc: 93.94%, Val loss: 1.037, Val acc: 70.31%
Epoch:66, Train loss: 0.813, Train acc: 93.11%, Val loss: 1.022, Val acc: 71.65%
Epoch:67, Train loss: 0.804, Train acc: 94.10%, Val loss: 1.020, Val acc: 72.04%
Epoch:68, Train loss: 0.800, Train acc: 94.44%, Val loss: 1.042, Val acc: 70.20%
Epoch:69, Train loss: 0.799, Train acc: 94.52%, Val loss: 1.034, Val acc: 70.59%
Epoch:70, Train loss: 0.795, Train acc: 94.89%, Val loss: 1.045, Val acc: 69.25%
Epoch:71, Train loss: 0.796, Train acc: 94.80%, Val loss: 1.027, Val acc: 71.09%
Epoch:72, Train loss: 0.796, Train acc: 94.82%, Val loss: 1.027, Val acc: 70.93%
Epoch:73, Train loss: 0.804, Train acc: 94.08%, Val loss: 1.065, Val acc: 67.24%
Epoch:74, Train loss: 0.814, Train acc: 93.00%, Val loss: 1.041, Val acc: 69.87%
Epoch:75, Train loss: 0.797, Train acc: 94.71%, Val loss: 1.034, Val acc: 70.54%
Epoch:76, Train loss: 0.796, Train acc: 94.85%, Val loss: 1.027, Val acc: 71.54%
Epoch:77, Train loss: 0.793, Train acc: 95.11%, Val loss: 1.028, Val acc: 70.93%
Epoch:78, Train loss: 0.792, Train acc: 95.15%, Val loss: 1.028, Val acc: 70.93%
Epoch:79, Train loss: 0.794, Train acc: 94.99%, Val loss: 1.020, Val acc: 71.82%
Epoch:80, Train loss: 0.792, Train acc: 95.22%, Val loss: 1.027, Val acc: 70.70%
Epoch:81, Train loss: 0.792, Train acc: 95.20%, Val loss: 1.029, Val acc: 71.09%
Epoch:82, Train loss: 0.792, Train acc: 95.20%, Val loss: 1.023, Val acc: 71.43%
Epoch:83, Train loss: 0.791, Train acc: 95.27%, Val loss: 1.027, Val acc: 71.21%
Epoch:84, Train loss: 0.791, Train acc: 95.27%, Val loss: 1.021, Val acc: 71.76%
Epoch:85, Train loss: 0.791, Train acc: 95.29%, Val loss: 1.029, Val acc: 70.65%
Epoch:86, Train loss: 0.791, Train acc: 95.30%, Val loss: 1.027, Val acc: 71.26%
Epoch:87, Train loss: 0.791, Train acc: 95.23%, Val loss: 1.028, Val acc: 70.87%
Epoch:88, Train loss: 0.793, Train acc: 95.12%, Val loss: 1.029, Val acc: 71.04%
