Epoch:01, Train loss: 1.268, Train acc: 44.17%, Val loss: 1.207, Val acc: 51.43%
Epoch:02, Train loss: 1.203, Train acc: 51.71%, Val loss: 1.183, Val acc: 55.04%
Epoch:03, Train loss: 1.164, Train acc: 56.30%, Val loss: 1.153, Val acc: 57.18%
Epoch:04, Train loss: 1.107, Train acc: 62.92%, Val loss: 1.068, Val acc: 67.11%
Epoch:05, Train loss: 1.043, Train acc: 69.66%, Val loss: 1.050, Val acc: 68.15%
Epoch:06, Train loss: 1.022, Train acc: 71.52%, Val loss: 1.040, Val acc: 69.96%
Epoch:07, Train loss: 0.999, Train acc: 74.31%, Val loss: 1.039, Val acc: 69.74%
Epoch:08, Train loss: 0.986, Train acc: 75.72%, Val loss: 1.030, Val acc: 70.89%
Epoch:09, Train loss: 0.974, Train acc: 77.07%, Val loss: 1.025, Val acc: 71.44%
Epoch:10, Train loss: 0.962, Train acc: 78.19%, Val loss: 1.044, Val acc: 69.35%
Epoch:11, Train loss: 0.957, Train acc: 78.42%, Val loss: 1.027, Val acc: 71.11%
Epoch:12, Train loss: 0.947, Train acc: 79.32%, Val loss: 1.025, Val acc: 71.22%
Epoch:13, Train loss: 0.937, Train acc: 80.77%, Val loss: 1.028, Val acc: 71.22%
Epoch:14, Train loss: 0.926, Train acc: 81.62%, Val loss: 1.032, Val acc: 71.00%
Epoch:15, Train loss: 0.916, Train acc: 82.89%, Val loss: 1.027, Val acc: 70.61%
Epoch:16, Train loss: 0.909, Train acc: 83.71%, Val loss: 1.025, Val acc: 71.44%
Epoch:17, Train loss: 0.901, Train acc: 84.57%, Val loss: 1.025, Val acc: 71.55%
Epoch:18, Train loss: 0.899, Train acc: 84.39%, Val loss: 1.023, Val acc: 71.88%
Epoch:19, Train loss: 0.892, Train acc: 85.20%, Val loss: 1.035, Val acc: 70.29%
Epoch:20, Train loss: 0.892, Train acc: 85.39%, Val loss: 1.020, Val acc: 71.55%
Epoch:21, Train loss: 0.894, Train acc: 84.95%, Val loss: 1.032, Val acc: 71.05%
Epoch:22, Train loss: 0.884, Train acc: 85.99%, Val loss: 1.023, Val acc: 71.71%
Epoch:23, Train loss: 0.878, Train acc: 86.77%, Val loss: 1.020, Val acc: 71.88%
Epoch:24, Train loss: 0.874, Train acc: 87.13%, Val loss: 1.029, Val acc: 71.00%
Epoch:25, Train loss: 0.877, Train acc: 86.86%, Val loss: 1.029, Val acc: 71.22%
Epoch:26, Train loss: 0.874, Train acc: 86.88%, Val loss: 1.034, Val acc: 70.23%
Epoch:27, Train loss: 0.867, Train acc: 87.76%, Val loss: 1.031, Val acc: 70.89%
Epoch:28, Train loss: 0.871, Train acc: 87.38%, Val loss: 1.023, Val acc: 71.60%
Epoch:29, Train loss: 0.863, Train acc: 88.12%, Val loss: 1.026, Val acc: 71.82%
Epoch:30, Train loss: 0.867, Train acc: 87.73%, Val loss: 1.035, Val acc: 70.12%
Epoch:31, Train loss: 0.858, Train acc: 88.59%, Val loss: 1.029, Val acc: 71.16%
Epoch:32, Train loss: 0.857, Train acc: 88.74%, Val loss: 1.028, Val acc: 70.94%
Epoch:33, Train loss: 0.858, Train acc: 88.48%, Val loss: 1.027, Val acc: 71.00%
Epoch:34, Train loss: 0.852, Train acc: 89.20%, Val loss: 1.029, Val acc: 71.05%
Epoch:35, Train loss: 0.857, Train acc: 88.75%, Val loss: 1.029, Val acc: 70.89%
Epoch:36, Train loss: 0.872, Train acc: 87.04%, Val loss: 1.031, Val acc: 71.05%
Epoch:37, Train loss: 0.859, Train acc: 88.45%, Val loss: 1.027, Val acc: 71.11%
Epoch:38, Train loss: 0.853, Train acc: 89.06%, Val loss: 1.039, Val acc: 70.12%
