Epoch:01, Train loss: 1.248, Train acc: 44.95%, Val loss: 1.222, Val acc: 47.53%
Epoch:02, Train loss: 1.172, Train acc: 54.09%, Val loss: 1.103, Val acc: 62.72%
Epoch:03, Train loss: 1.085, Train acc: 64.61%, Val loss: 1.065, Val acc: 67.43%
Epoch:04, Train loss: 1.068, Train acc: 66.73%, Val loss: 1.153, Val acc: 58.00%
Epoch:05, Train loss: 1.056, Train acc: 68.30%, Val loss: 1.070, Val acc: 66.23%
Epoch:06, Train loss: 1.052, Train acc: 68.15%, Val loss: 1.059, Val acc: 67.82%
Epoch:07, Train loss: 1.039, Train acc: 70.08%, Val loss: 1.049, Val acc: 68.48%
Epoch:08, Train loss: 1.020, Train acc: 71.90%, Val loss: 1.048, Val acc: 69.13%
Epoch:09, Train loss: 1.021, Train acc: 71.90%, Val loss: 1.042, Val acc: 69.35%
Epoch:10, Train loss: 1.014, Train acc: 72.49%, Val loss: 1.060, Val acc: 67.65%
Epoch:11, Train loss: 1.006, Train acc: 73.37%, Val loss: 1.036, Val acc: 69.96%
Epoch:12, Train loss: 0.998, Train acc: 74.32%, Val loss: 1.043, Val acc: 69.63%
Epoch:13, Train loss: 1.005, Train acc: 73.45%, Val loss: 1.042, Val acc: 69.96%
Epoch:14, Train loss: 0.997, Train acc: 74.69%, Val loss: 1.037, Val acc: 69.85%
Epoch:15, Train loss: 0.993, Train acc: 74.73%, Val loss: 1.030, Val acc: 70.83%
Epoch:16, Train loss: 0.992, Train acc: 74.90%, Val loss: 1.029, Val acc: 71.16%
Epoch:17, Train loss: 0.987, Train acc: 75.50%, Val loss: 1.057, Val acc: 68.09%
Epoch:18, Train loss: 0.978, Train acc: 76.35%, Val loss: 1.034, Val acc: 70.45%
Epoch:19, Train loss: 0.985, Train acc: 75.71%, Val loss: 1.035, Val acc: 70.23%
Epoch:20, Train loss: 0.977, Train acc: 76.68%, Val loss: 1.027, Val acc: 71.49%
Epoch:21, Train loss: 0.973, Train acc: 76.83%, Val loss: 1.030, Val acc: 70.94%
Epoch:22, Train loss: 0.976, Train acc: 76.47%, Val loss: 1.027, Val acc: 71.11%
Epoch:23, Train loss: 0.965, Train acc: 77.70%, Val loss: 1.025, Val acc: 71.49%
Epoch:24, Train loss: 0.957, Train acc: 78.61%, Val loss: 1.021, Val acc: 72.09%
Epoch:25, Train loss: 0.961, Train acc: 78.02%, Val loss: 1.028, Val acc: 71.05%
Epoch:26, Train loss: 0.951, Train acc: 79.04%, Val loss: 1.025, Val acc: 71.38%
Epoch:27, Train loss: 0.954, Train acc: 79.01%, Val loss: 1.036, Val acc: 70.50%
Epoch:28, Train loss: 0.949, Train acc: 79.38%, Val loss: 1.035, Val acc: 70.72%
Epoch:29, Train loss: 0.944, Train acc: 79.76%, Val loss: 1.042, Val acc: 69.63%
